Project ID,T type sub-class,Avg ISI,F I curve slope
1HEYEW7GMUKWIQW37BO,Sst interneuron,25.46,0.108836207
1HEYEW7GMUKWIQW37BO,Sst interneuron,55.16352941,0.315000019
1HEYEW7GMUKWIQW37BO,Vip interneuron,78.174,0.203940887
1HEYEW7GMUKWIQW37BO,Vip interneuron,35.67407407,0.615
1HEYEW7GMUKWIQW37BO,Sst interneuron,78.41818182,0.255
1HEYEW7GMUKWIQW37BO,Sst interneuron,51.15,0.386206866
1HEYEW7GMUKWIQW37BO,Sst interneuron,65.92,0.252941173
1HEYEW7GMUKWIQW37BO,Sst interneuron,33.64275862,0.577419355
1HEYEW7GMUKWIQW37BO,Sst interneuron,33.42928571,0.468421037
1HEYEW7GMUKWIQW37BO,Sst interneuron,59.98,0.421528606
1HEYEW7GMUKWIQW37BO,Vip interneuron,40.73666667,0.128102788
